Year,Category,Title,Type,Quality,Units,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Note
2004,FRUIT,Blackberries,All Varieties,-,$/kg,,,,,,,3.26,3.24,3.61,5.06,,,
2004,FRUIT,Damsons,All Varieties,1st,$/kg,,,,,,,0.99,0.98,0.78,,,,
2004,FRUIT,Damsons,All Varieties,2nd,$/kg,,,,,,,,0.55,0.69,,,,
2004,FRUIT,Damsons,All Varieties,Ave,$/kg,,,,,,,,0.98,0.76,,,,
2005,FRUIT,Blackberries,All Varieties,-,$/kg,,,,,,,3.74,4.5,4.11,9.33,,,
2005,FRUIT,Damsons,All Varieties,1st,$/kg,,,,,,,1.43,1.04,0.89,,,,
2005,FRUIT,Damsons,All Varieties,2nd,$/kg,,,,,,,,0.8,0.66,,,,
2005,FRUIT,Damsons,All Varieties,Ave,$/kg,,,,,,,,0.99,0.87,,,,
2006,FRUIT,Blackberries,All Varieties,-,$/kg,,,,,,,2.82,3.46,4.26,,,,
2006,FRUIT,Damsons,All Varieties,1st,$/kg,,,,,,,,0.96,0.87,0.96,,,
2006,FRUIT,Damsons,All Varieties,2nd,$/kg,,,,,,,,0.85,0.51,0.55,,,
2006,FRUIT,Damsons,All Varieties,Ave,$/kg,,,,,,,,0.95,0.84,0.76,,,
2007,FRUIT,Blackberries,All Varieties,-,$/kg,,,,,,3.43,3.44,3.55,,,,,
2007,FRUIT,Damsons,All Varieties,1st,$/kg,,,,,,,1.14,0.94,1.1,,,,
2007,FRUIT,Damsons,All Varieties,2nd,$/kg,,,,,,,,0.69,0.72,,,,
2007,FRUIT,Damsons,All Varieties,Ave,$/kg,,,,,,,,0.89,0.99,,,,
2008,FRUIT,Blackberries,All Varieties,-,$/kg,,,,,,,4.86,6.84,6.7,,,,
2008,FRUIT,Damsons,All Varieties,1st,$/kg,,,,,,,,1.55,,,,,
2008,FRUIT,Damsons,All Varieties,2nd,$/kg,,,,,,,,,,,,,
2008,FRUIT,Damsons,All Varieties,Ave,$/kg,,,,,,,,,,,,,
2009,FRUIT,Blackberries,All Varieties,-,$/kg,,,,,,,4.18,4.2,4.37,7.14,,,
2009,FRUIT,Damsons,All Varieties,1st,$/kg,,,,,,,,1.03,0.86,,,,
2009,FRUIT,Damsons,All Varieties,2nd,$/kg,,,,,,,,0.75,0.6,,,,
2009,FRUIT,Damsons,All Varieties,Ave,$/kg,,,,,,,,1.01,0.77,,,,
2010,FRUIT,Blackberries,All Varieties,-,$/kg,,,,,,,5.73,6.29,4.65,11.46,,,
2010,FRUIT,Damsons,All Varieties,-,$/kg,,,,,,,,1.15,0.95,,,,
2011,FRUIT,Blackberries,All Varieties,-,$/kg,,,,,,7.8,5.51,4.8,6.5,11.08,,,
2011,FRUIT,Damsons,All Varieties,-,$/kg,,,,,,,1.65,1.12,0.8,,,,
2012,FRUIT,Blackberries,All Varieties,-,$/kg,,,,,,8.94,5.29,5.36,6.25,6.84,14.4,,
2012,FRUIT,Damsons,All Varieties,-,$/kg,,,,,,,,1.96,1.53,0.99,,,
2013,FRUIT,Blackberries,All Varieties,-,$/kg,,,,,,9.6,5.95,5.03,3.92,4.81,7.41,,
2013,FRUIT,Damsons,All Varieties,-,$/kg,,,,,,,,1.93,1.44,1.22,,,
2014,FRUIT,Blackberries,All Varieties,-,$/kg,,,,,,4.82,3.98,4.64,5.02,,,,
2014,FRUIT,Damsons,All Varieties,-,$/kg,,,,,,,,1.6,1.34,1.37,0.91,0.87,
2015,FRUIT,Blackberries,All Varieties,-,$/kg,,,,,,,,,,,,,
2015,FRUIT,Damsons,All Varieties,-,$/kg,,,,,,,,,,,,,
